user_id,movie_id,predicted_rating_linear,predicted_rating_forest,actual_rating
324,579,3.0718403784947554,3.019897334114597,1.0
97,415,2.8699382257316914,2.971421565079814,3.0
293,555,3.1500715635706023,3.0592351985396444,4.0
334,487,2.908783354700917,2.975934409041965,1.0
74,822,3.3826183830614314,2.8770987319698014,2.0
304,432,3.046996388457126,2.9789366987953514,4.0
68,266,2.9620592845901195,2.9972112388567886,5.0
34,890,2.5282057457682487,2.9989455668913045,5.0
30,53,3.1885007244149337,3.0799055323424755,4.0
413,689,2.938377026235909,2.979062875772954,1.0
280,747,3.2037927013923264,3.047829832285189,2.0
147,514,3.0194009265873025,2.99522069000181,1.0
495,133,2.9521959192968326,2.9905703552868115,4.0
459,449,2.9917097610799392,2.9793424958037544,1.0
60,763,2.983719581848399,2.99234073289284,3.0
91,528,3.3381643581959515,3.2191661499371556,1.0
189,978,2.8260168844366214,2.9460597576472676,1.0
439,257,2.9329187348843635,2.9956877679526497,5.0
26,192,2.967960628962088,2.997826514782751,4.0
159,764,2.788747895228979,2.99944214081724,5.0
6,932,3.3414581101208674,3.0450631535252035,4.0
445,379,2.8555785009004406,3.0007656231091535,4.0
89,120,2.9626368774963194,2.9947306630645447,2.0
311,472,2.9161336085793583,2.967373464562118,1.0
243,982,2.8939477302696495,2.9937257171386835,1.0
81,210,2.9913336796750634,2.994328964824795,1.0
133,484,3.2594287355945237,2.94350729902684,5.0
38,884,3.102411402973432,3.003912935026177,1.0
423,969,2.9319385015433466,2.9781097812293096,4.0
25,921,2.866484557148594,3.002972520979512,5.0
268,389,3.012985091775175,2.9878583284442,1.0
360,478,2.9436554193903657,2.999877054695088,2.0
469,771,2.8046243453012862,2.9567908790630537,2.0
86,220,2.913873740011342,2.9861384181057695,1.0
91,391,3.000900361611409,3.009484170494703,5.0
376,315,2.877683130751349,2.9607609947637883,1.0
41,243,2.734251214074485,2.9785155782377126,2.0
396,932,3.321293100536107,3.0350772787362903,3.0
315,544,3.077094790850027,2.9551659213153596,4.0
139,601,3.159947320023138,3.001450134895367,5.0
467,456,3.2576400898749176,3.007993384076176,2.0
455,61,3.1043296729973364,3.014004635750279,3.0
455,791,3.0759046668980887,3.0181488492581248,4.0
243,720,2.968383728181072,2.991549582372297,2.0
97,991,2.9365779740640217,2.9922596154556826,1.0
285,85,3.0772396700657785,2.9887603239686538,3.0
150,795,2.9897650193966574,2.966621257854569,1.0
40,415,2.907355820453333,2.977366852193378,5.0
168,686,2.878052710752289,2.980362090489576,3.0
85,62,3.2832593521738698,3.0099934287734293,4.0
494,705,3.0458312195353376,2.994078532165942,4.0
404,352,2.9986342104367485,3.00216064255069,5.0
185,383,3.358135264794323,3.0602529619910426,3.0
429,394,3.2588241611253914,2.959456723189096,3.0
355,374,3.286922247701031,2.969008598746748,1.0
192,337,3.078105033298387,3.019997152085881,5.0
259,368,2.980049300731193,3.0035917142523694,3.0
273,638,2.878248849421455,2.945445475241393,4.0
486,619,2.9514976765312073,2.9455905029350418,2.0
251,593,2.7141446316373883,2.919971229890716,3.0
73,999,3.11247902812448,3.043972366701813,5.0
279,423,2.126849718781084,2.910242108675216,4.0
483,521,2.8942890116778717,2.9904149238140274,1.0
410,521,2.9286450705229274,2.982329619814994,1.0
195,796,2.928354527961372,2.998802798248087,4.0
160,898,2.8964213651147244,2.99234073289284,3.0
122,658,2.951735117499698,2.982283125854671,2.0
96,643,3.3889305252429236,3.2562418541900944,1.0
193,160,2.939977246720142,2.9806330800810157,1.0
146,796,2.8750419137223693,2.9834604289185194,2.0
321,366,2.9072277333716783,3.007290629302225,1.0
437,140,3.14355305586023,2.995555967348232,4.0
218,123,3.139216812088822,3.0194149936985766,1.0
11,776,3.1694395693820914,2.9607739524400953,2.0
181,348,2.63219892290756,2.9746309239032156,5.0
267,71,3.2035377112935253,2.9870204652013324,4.0
401,162,2.920354486795061,2.973819936157026,4.0
161,841,2.943738418041037,2.996737597163685,5.0
293,273,2.862673982451013,3.0012347217064104,3.0
116,907,2.9943764118395184,2.99234073289284,4.0
350,827,2.6728599262265442,2.976980798024856,1.0
257,10,2.9940853171010833,3.0126843871622215,1.0
85,507,2.9504511831937696,2.9971564833247983,3.0
14,208,2.996395248902936,2.9825290062617373,4.0
338,868,2.9836639366343487,3.003912935026177,4.0
455,492,2.7420682722271055,3.0032488761800744,5.0
467,259,2.969926533067275,2.999619591344357,5.0
390,46,2.883733785978933,3.01028248851647,2.0
229,653,2.9450507695275054,2.9617976175723895,4.0
217,351,2.969847070397968,2.9512044295098128,1.0
449,666,3.7370612014832454,3.060990999923336,2.0
411,612,2.9288823270350943,2.953972238012735,1.0
422,978,2.838137429952834,2.9709034692631366,2.0
85,746,3.0233705522811403,2.9971564833247983,3.0
409,762,2.9258454684944626,2.9728351781893787,1.0
89,998,3.1695441690209867,3.0139270405065366,3.0
228,237,3.2857223276527443,3.0480586682460546,4.0
267,898,2.8879219280800847,2.9870204652013324,1.0
152,871,2.8651075773348276,2.9558963989956832,4.0
427,62,3.2519364775754096,2.977321397079956,5.0
498,296,2.956029600446729,2.9923424130116683,5.0
67,816,2.9536920506531503,2.9371861057173105,3.0
471,58,3.432703522974754,3.0056615621427225,1.0
484,744,2.971173905721351,2.9920381113719645,4.0
204,742,2.9031150775135037,3.0031931210668974,1.0
205,415,2.8953520660461862,2.9773016581407545,5.0
234,483,2.8975679696127683,3.004717206813449,2.0
477,905,2.916445670566051,3.023151394827059,2.0
75,213,2.7103083282262443,2.980757551419126,5.0
482,155,2.923956450812317,2.985058791534785,3.0
72,215,2.9689998941067492,2.9813868621508557,5.0
467,85,3.07904823996174,2.999619591344357,1.0
149,33,2.976911516845702,2.9999200236503207,1.0
133,218,2.970381506033366,2.945284487241929,4.0
175,999,3.1106421065985286,3.0070205085013373,1.0
365,555,3.1589375340922587,3.049282082701755,1.0
162,802,3.159061649802376,2.9700353263893517,2.0
236,497,3.1128801422466523,2.9579915127630674,4.0
200,464,2.769613798073448,2.897714111337285,4.0
316,454,2.9538114500748236,2.9684711340570598,2.0
110,483,2.8802147535266425,2.979487805364412,3.0
263,68,2.9013827556264475,2.955750261378823,2.0
142,242,2.695845787796482,2.9905703552868115,2.0
23,453,2.8292716793963733,3.0089200230572843,3.0
372,132,2.906755704748186,2.992172555895055,4.0
384,984,2.2896433453551963,2.665935556240165,2.0
152,48,2.781474916078892,2.9929955060034734,1.0
473,427,2.656649253863424,3.0217440882116584,2.0
451,633,2.9037103290314206,2.9853934915968705,2.0
69,545,2.883178785959643,2.973997152082361,4.0
326,498,2.9819085729102324,3.008136939856193,2.0
405,813,3.17904240028625,2.994150175237585,2.5
166,500,2.9552277762705583,2.99234073289284,5.0
137,566,3.0633940850315002,2.9815129639140654,1.0
411,8,3.0192473779626035,2.95804372560319,4.0
252,146,3.0306652983023596,2.9883354878955624,1.0
41,394,3.2317590851241613,3.1378390903799698,2.0
429,287,2.7778685387816138,2.945284487241929,2.0
352,799,2.9804107308569066,2.9857293615343368,5.0
92,332,2.7756314077704416,2.9719655201626445,1.0
471,769,2.984924405259965,2.9887280524593165,4.0
354,567,3.1222150410679457,2.9879296908871593,2.0
161,609,2.8056205512838583,3.017985096841634,1.0
289,86,3.134347778054328,2.99234073289284,4.0
25,396,2.9875777245435096,2.9877322684293013,3.0
152,960,3.0172160184032313,2.9929955060034734,3.0
30,751,2.9306024574519807,3.002462202542516,4.0
274,524,3.0296380079765624,2.9909830658815184,2.0
87,84,3.3134033681569344,3.2782511231816716,1.0
264,943,2.8985831535979827,2.9397614406417305,5.0
77,429,2.9071508469486367,3.034110242428603,3.0
424,224,3.322975375201954,2.998139255421986,5.0
310,934,2.872853533144745,2.9932840213298118,4.0
72,668,2.9217975075891593,2.999393742533984,2.0
167,450,3.1198897923694804,2.992992863791443,1.0
260,553,2.763829570980736,3.001562331679255,2.0
234,141,2.860566543397277,2.971513188573459,3.0
345,486,3.0756436131269482,2.992515700227532,2.0
266,181,2.7355459084173304,2.957842413327025,5.0
450,506,3.2876992952504014,3.0213891488465032,1.0
286,161,2.9045449224522786,2.9257880376596823,2.0
290,992,2.9562636277423513,2.9931183889522384,5.0
441,644,3.0079835055544866,2.992512811932747,5.0
324,727,3.1086795992966083,3.005638175611168,2.0
90,341,2.9709568272602014,2.9939231678163924,3.0
139,214,2.407241054281391,2.965108012194662,2.0
173,305,3.1602107667271055,3.02937669123859,2.0
175,468,2.768165634368056,2.979147485478157,1.0
269,448,3.0235825458863506,3.000367615977188,4.0
125,235,2.9392811267099,2.9952855990063267,5.0
446,848,2.995789287358149,3.0202791007961065,3.0
12,944,2.979784862994305,2.973816588891553,1.0
356,440,2.9577461325192536,2.9987059689907984,3.0
444,845,2.890089993056023,3.0077463712216006,4.0
331,494,2.9084922524083368,2.9824035971555856,2.0
340,150,3.313534564124496,3.089385449431673,5.0
111,269,2.515579257257682,2.928949936643951,1.0
54,282,2.776983028805564,3.0019572727914516,2.0
86,765,2.9491173425600894,2.9656285640685285,4.0
273,211,3.2197060618554123,2.930866802584627,5.0
445,762,2.9624171738226566,3.000678338048686,1.0
359,766,3.2899183883410843,3.023642172045723,3.0
12,219,2.9139177050127767,2.9784411268377045,2.0
375,228,3.0383833526145323,2.965186825606108,1.0
211,342,3.0592927405665153,3.0007869220615766,5.0
482,566,3.0734563182738004,2.992017803216915,2.0
303,793,2.783176904451071,2.966209025814947,5.0
458,136,3.6537267244478087,2.8798278102408705,1.0
385,276,2.7152709373545934,2.99844053051951,4.0
496,709,2.995917107574321,2.999619591344357,2.0
379,595,2.9528838189858453,3.002972520979512,2.0
314,13,2.8408226257821285,3.023349340615769,2.0
370,898,2.9245820728873535,3.0019572727914516,4.0
111,411,2.9580282307306285,2.9874671608074386,2.0
155,264,3.447506879410366,2.9604490879211185,3.5
149,675,2.995795346347861,3.0033036742986674,4.0
306,854,3.1255083952992866,3.04564864783178,5.0
